"","SOC","Occupation","deduplicated","2016 - 2026 Change","retirements","growthRetire","indexRank"
"182","25-2051","Special Education Teachers, Preschool",10,9,10,19,9424
"183","25-2052","Special Education Teachers, Kindergarten & Elementary School",7,68,191,259,4032
"184","27-2042","Musicians & Singers",6,171,305,476,2064
"185","29-1029","Dentists, All Other Specialists",3,3,10,13,10507
"186","33-1012","Supervisors of Police & Detectives",4,23,70,93,6930
"187","33-1021","Supervisors of Fire Fighting & Prevention Workers",8,14,43,57,7810.5
"188","33-2021","Fire Inspectors & Investigators",8,3,10,13,10033
"189","43-5051","Postal Service Clerks",3,-38,73,35,9177
"190","49-9044","Millwrights",14,125,128,253,3900
"191","51-9011","Chemical Equipment Operators & Tenders",6,-146,80,-66,11029.5
"192","51-9122","Painters, Transportation Equipment",2,16,36,52,8442
"193","53-2031","Flight Attendants",3,-146,54,-92,11438
"194","11-2011","Advertising & Promotions Managers",13,-1,25,24,8967
"195","13-1075","Labor Relations Specialists",4,16,207,223,4686
"196","17-2161","Nuclear Engineers",2,2,10,12,10653
"197","17-2171","Petroleum Engineers",2,1,10,11,10720
"198","19-1031","Conservation Scientists",2,3,10,13,10586
"199","19-2012","Physicists",2,3,10,13,10586
"200","23-2099","Legal Support Workers, All Other",10,3,23,26,9062.5
"201","27-2021","Athletes & Sports Competitors",3,0,16,16,10307.5
"202","29-1022","Oral & Maxillofacial Surgeons",4,5,10,15,10296
"203","29-1023","Orthodontists",3,8,18,26,9642.5
"204","29-1129","Therapists, All Other",6,37,36,73,7345
"205","49-2091","Avionics Technicians",4,5,10,15,10296
"206","49-2093","Electrical & Electronics Installers & Repairers, Transportation Equipment",2,2,16,18,10251
"207","49-2095","Electrical & Electronics Repairers, Powerhouse, Substation, & Relay",2,7,25,32,9450
"208","49-9096","Riggers",2,11,16,27,9648
"209","49-9097","Signal & Track Switch Repairers",4,-2,10,8,10758
"210","51-4035","Milling & Planing Machine Setters, Operators, & Tenders, Metal & Plastic",2,-11,21,10,10787
"211","51-8012","Power Distributors & Dispatchers",1,4,16,20,10268
"212","53-1011","Aircraft Cargo HandlingSupervisors",1,42,32,74,7616
"213","53-4031","Railroad Conductors & Yardmasters",5,-6,45,39,8777
"214","53-6041","Traffic Technicians",2,1,10,11,10720
"215","11-9061","Funeral Service Managers",3,9,10,19,10108
"216","11-9071","Gaming Managers",1,0,10,10,10948
"217","11-9131","Postmasters & Mail Superintendents",1,-8,18,10,10948
"218","13-2081","Tax Examiners & Collectors, & Revenue Agents",8,-8,47,39,8509
"219","15-2021","Mathematicians",NA,3,10,13,NA
"220","15-2099","Mathematical Science Occupations, All Other",NA,1,10,11,NA
"221","17-1012","Landscape Architects",1,2,10,12,10812
"222","17-1021","Cartographers & Photogrammetrists",NA,5,10,15,NA
"223","17-2011","Aerospace Engineers",1,8,10,18,10404
"224","17-2031","Biomedical Engineers",3,10,10,20,10041.5
"225","17-2072","Electronics Engineers, Except Computer",16,21,41,62,7021
"226","17-2121","Marine Engineers & Naval Architects",NA,2,10,12,NA
"227","17-2151","Mining & Geological Engineers, Including Mining Safety Engineers",3,0,10,10,10706.5
"228","17-3025","Environmental Engineering Technicians",1,4,10,14,10676
"229","19-1021","Biochemists & Biophysicists",1,5,10,15,10608
"230","19-1032","Foresters",2,2,10,12,10732.5
"231","19-1041","Epidemiologists",4,1,10,11,10560
"232","19-1099","Life Scientists, All Other",2,3,10,13,10665
"233","19-2021","Atmospheric & Space Scientists",4,1,10,11,10560
"234","19-2043","Hydrologists",NA,1,10,11,NA
"235","19-2099","Physical Scientists, All Other",8,2,10,12,10096.5
"236","19-3011","Economists",3,5,10,15,10374
"237","19-3099","Social Scientists & Related Workers, All Other",6,3,10,13,10191
"238","23-1023","Judges, Magistrate Judges, & Magistrates",3,3,34,37,9044
"239","25-1099","Postsecondary Teachers",NA,501,1279,1780,NA
"240","25-2032","CTE Teachers, Secondary School",NA,9,10,19,NA
"241","25-4011","Archivists",1,2,10,12,10812
"242","27-3021","Broadcast News Analysts",1,-3,10,7,11152
"243","27-4099","Media & Communication Equipment Workers, All Other",NA,0,10,10,NA
"244","29-1011","Chiropractors",2,35,32,67,7897.5
"245","29-1065","Pediatricians, General",2,14,51,65,7906
"246","29-1161","Nurse Midwives",1,9,16,25,9928
"247","29-2033","Nuclear Medicine Technologists",2,2,22,24,9922.5
"248","29-2054","Respiratory Therapy Technicians",1,-4,10,6,11220
"249","29-2091","Orthotists & Prosthetists",2,8,10,18,10327.5
"250","37-3019","Grounds Maintenance Workers, All Other",NA,2,10,12,NA
"251","39-4031","Morticians, Undertakers, & Funeral Directors",NA,33,86,119,NA
"252","43-3099","Financial Clerks, All Other",NA,-1,25,24,NA
"253","43-5052","Postal Service Mail Carriers",NA,-227,278,51,NA
"254","45-2011","Agricultural Inspectors",1,1,10,11,10880
"255","47-2082","Tapers",1,-28,10,-18,11560
"256","47-2132","Insulation Workers, Mechanical",NA,96,21,117,NA
"257","47-2171","Reinforcing Iron & Rebar Workers",NA,7,16,23,NA
"258","47-4021","Elevator Installers & Repairers",1,79,16,95,7072
"259","49-2021","Radio, Cellular, & Tower Equipment Installers & Repairs",14,12,17,29,8591
"260","49-3043","Rail Car Repairers",3,2,32,34,9243.5
"261","49-9069","Precision Instrument & Equipment Repairers, All Other",NA,3,18,21,NA
"262","51-8091","Chemical Plant & System Operators",NA,-1,20,19,NA
"263","51-8099","Plant & System Operators, All Other",6,-2,10,8,10595
"264","53-2011","Airline Pilots, Copilots, & Flight Engineers",NA,-5,73,68,NA
"265","53-4011","Locomotive Engineers",2,-9,48,39,8978
"266","53-4013","Rail Yard Engineers, Dinkey Operators, & Hostlers",1,-5,10,5,11288
"267","53-4021","Railroad Brake, Signal, & Switch Operators",2,-5,24,19,10260
"268","53-4041","Subway & Streetcar Operators",NA,5,24,29,NA
"269","53-4099","Rail Transportation Workers, All Other",1,1,16,17,10472
"270","53-5031","Ship Engineers",NA,-5,23,18,NA
"271","53-6011","Bridge & Lock Tenders",NA,0,10,10,NA
"272","53-7071","Gas Compressor & Gas Pumping Station Operators",NA,-10,10,0,NA
